Day;1;2;3;4;5;6;7;8;9;10;11;12;13;14;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
Week;1;1;1;1;1;1;1;2;2;2;2;2;2;2;3;3;3;3;3;4;4;4;4;4;4;4;5;5;5;5;5;5;5;1;1;1;1;1;1;1;2;2;2;2;2;2;2;3;3;3;3;3;3;3;4;4;4;4;4;4;4;5;5;5;5;5;5;5
Music;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0
Year;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021
Beak cleaning;9;10;5;7;7;4;7;9;11;12;9;6;11;14;12;2;9;2;2;11;24;5;6;14;5;12;18;13;3;3;12;6;6;12;4;11;0;0;3;3;3;9;6;2;5;10;25;14;16;13;16;18;2;0;6;12;13;10;20;10;5;3;9;10;3;13;5;28
Grooming;83;119;96;89;121;79;146;127;291;183;362;65;120;225;238;222;126;202;223;114;144;167;235;174;101;118;8;53;46;30;37;56;63;11;22;26;23;56;23;40;28;89;218;69;10;86;43;107;36;109;101;148;16;51;63;88;65;103;84;10;45;44;72;90;21;127;44;159
Eating;7;19;29;8;27;24;2;2;7;7;3;4;5;0;0;0;1;12;0;7;13;7;3;13;17;19;11;15;15;12;16;20;31;92;98;128;0;0;19;27;0;0;6;5;2;0;92;41;13;46;64;32;25;88;0;0;13;5;2;3;111;18;41;11;24;53;9;37
Getting nearer;9;0;1;6;7;2;2;6;7;14;7;7;13;14;6;3;5;9;5;20;54;48;42;60;54;38;10;17;8;11;8;10;14;0;0;0;0;0;0;0;0;0;0;0;2;1;47;22;9;2;15;10;18;42;30;39;19;23;13;9;13;14;10;3;10;3;9;8
Shared grooming;18;0;0;9;10;2;2;1;6;3;1;0;2;3;2;1;1;4;0;2;4;0;2;10;6;7;1;1;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;16;1;2;0;1;0;0;0;17;19;57;49;40;20;5;9;4;20;24;2;10;3
Agression;0;0;1;0;0;33;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;4;0;0;2;0;7;1;8;0;0;0;1;5;0;1;5;5;2;3;14;17;5;7;6;5;11;4;0;7;7;12;24;9;12;3
Hopping;103;86;126;126;137;119;171;97;151;107;95;111;118;77;122;93;88;94;83;94;130;133;134;101;127;74;85;107;103;97;80;78;132;45;50;67;9;32;24;21;10;50;30;57;69;36;107;56;65;30;17;51;92;78;17;42;23;46;52;25;46;29;48;36;27;22;36;30
Pecking objects;204;75;119;147;256;89;282;203;152;219;65;217;94;243;241;251;251;187;309;134;180;240;210;159;151;111;227;267;277;171;198;192;183;33;14;12;0;10;40;13;5;25;31;52;61;39;14;7;28;17;1;18;38;6;14;12;7;32;13;13;69;5;7;9;21;33;79;11
